Payee,Paid_By,Payment_Amount,Payment_Date,Payee_Type,Payee_Address,City_State_Zip,Payment_Year,Expenditure_Type,Date_Reported,Report_Filed,Expense_Description,Travel_Outside_Texas,Political_Obligation,Reimbursement_Intended,Correction,View_Report,TRANSACTION_ID
Ruben Becerra Campaign,Home Builders Association of Greater Austin HOME-PAC Personal,$500.00,12/02/2016,Entity,PO Box 752,"San Marcos, TX, 78667",2016,Political Expenditure from Political Contributions,01/17/2017,GPAC: General-Purpose Committee Campaign Finance Report,Campaign Contribution,,y,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269941),R20170118090341-F0001
Sheri Gallo Campaign,Home Builders Association of Greater Austin HOME-PAC Personal,$350.00,12/02/2016,Entity,PO Box 26801,"Austin, TX, 78755",2016,Political Expenditure from Political Contributions,01/17/2017,GPAC: General-Purpose Committee Campaign Finance Report,Campaign Contribution,,y,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269941),R20170118090341-F0002
EveryAction,Our City Our Safety Our Choice PAC,$71.20,07/05/2016,Entity,"1101 15th St NW, Ste 500","Washington, DC, 20005",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Fees | Processing Fees,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269938),R20170118162844-F0001
ESC Marketing,Our City Our Safety Our Choice PAC,$50.00,07/08/2016,Entity,13505 Bolivia Dr,"Austin, TX, 78729",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Office Overhead/Rental Expense | Website Hosting,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269938),R20170118162844-F0002
Frost Bank,Our City Our Safety Our Choice PAC,$7.00,07/29/2016,Entity,P.O. Box 1600,"San Antonio, TX, 78296",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Fees | Monthly Service Charge,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269938),R20170118162844-F0004
NGP VAN,Our City Our Safety Our Choice PAC,$250.00,08/12/2016,Entity,"1101 15th St NW, Suite 500","Washington, DC, 20005",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Office Overhead/Rental Expense | Database,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269938),R20170118162844-F0005
"Butts, David",Our City Our Safety Our Choice PAC,$1000.00,08/12/2016,Individual,1914 Patton Ln,"Austin, TX, 78723",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Loan Repayment/Reimbursement | Repayment,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269938),R20170118162844-F0006
"Butts, David",Our City Our Safety Our Choice PAC,$2000.00,08/16/2016,Individual,1914 Patton Ln,"Austin, TX, 78723",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Loan Repayment/Reimbursement | Repayment,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269938),R20170118162844-F0007
ESC Marketing,Our City Our Safety Our Choice PAC,$50.00,08/12/2016,Entity,13505 Bolivia Dr,"Austin, TX, 78729",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Office Overhead/Rental Expense | Website Hosting,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269938),R20170118162844-F0008
NGP VAN,Our City Our Safety Our Choice PAC,$272.36,08/30/2016,Entity,"1101 15th St NW, Suite 500","Washington, DC, 20005",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Fees | Excessive Names,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269938),R20170118162844-F0009
Rindy Miller Media,Our City Our Safety Our Choice PAC,$220.36,08/30/2016,Entity,"2401 East 6th, #1007","Austin, TX, 78702",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Consulting Expense | Database Services,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269938),R20170118162844-F0010
Frost Bank,Our City Our Safety Our Choice PAC,$7.00,08/31/2016,Entity,P.O. Box 1600,"San Antonio, TX, 78296",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Fees | Monthly Service Charge,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269938),R20170118162844-F0011
EveryAction,Our City Our Safety Our Choice PAC,$145.32,09/02/2016,Entity,"1101 15th St NW, Ste 500","Washington, DC, 20005",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Fees | Processing Fees,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269938),R20170118162844-F0012
"Butts, David",Our City Our Safety Our Choice PAC,$1000.00,08/31/2016,Individual,1914 Patton Ln,"Austin, TX, 78723",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Loan Repayment/Reimbursement | Repayment,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269938),R20170118162844-F0013
ESC Marketing,Our City Our Safety Our Choice PAC,$50.00,10/21/2016,Entity,13506 Bolivia Dr,"Austin, TX, 78729",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Office Overhead/Rental Expense | Website Hosting,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269938),R20170118162844-F0016
EveryAction,Our City Our Safety Our Choice PAC,$1.25,11/02/2016,Entity,"1101 15th St NW, Ste 500","Washington, DC, 20005",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Fees | Processing Fees,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269938),R20170118162844-F0017
ESC Marketing,Our City Our Safety Our Choice PAC,$50.00,11/04/2016,Entity,13506 Bolivia Dr,"Austin, TX, 78729",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Office Overhead/Rental Expense | Website Hosting,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269938),R20170118162844-F0018
EveryAction,Our City Our Safety Our Choice PAC,$1.25,12/02/2016,Entity,"1101 15th St NW, Ste 500","Washington, DC, 20005",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Fees | Processing Fees,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269938),R20170118162844-F0019
ESC Marketing,Our City Our Safety Our Choice PAC,$50.00,12/01/2016,Entity,13506 Bolivia Dr,"Austin, TX, 78729",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Office Overhead/Rental Expense | Website Hosting,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269938),R20170118162844-F0020
United States Postmaster,Our City Our Safety Our Choice PAC,$35.00,12/16/2016,Entity,PO Box 6193,"Austin, TX, 78762",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Office Overhead/Rental Expense | PO Box,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269938),R20170118162844-F0021
Facebook,"Troxclair, Ellen",$30.00,08/25/2016,Entity,1 Hacker Way,"Menlo Park, CA, 94025",2016,Political Expenditure from Political Contributions,01/18/2017,C/OH: Candidate/Officeholder Campaign Finance Report,communication expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269966),R20170119170224-F0001
Parking at Seaholm,"Troxclair, Ellen",$4.00,08/29/2016,Entity,222 West Ave,"Austin, TX, 78701",2016,Political Expenditure from Political Contributions,01/18/2017,C/OH: Candidate/Officeholder Campaign Finance Report,parking fee,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269966),R20170119170224-F0003
Luxe Apothetique,"Troxclair, Ellen",$30.26,12/15/2016,Entity,201 W 2nd St.,"Austin, TX, 78701",2016,Political Expenditure from Political Contributions,01/18/2017,C/OH: Candidate/Officeholder Campaign Finance Report,supplies for office,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269966),R20170119170224-F0005
Randall's,"Troxclair, Ellen",$66.71,12/15/2016,Entity,5311 Balcones Drive,"Austin, TX, 78731",2016,Political Expenditure from Political Contributions,01/18/2017,C/OH: Candidate/Officeholder Campaign Finance Report,cards and gifts for colleagues,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269966),R20170119170224-F0006
Austin Republican Women,"Troxclair, Ellen",$60.00,12/15/2016,Entity,6317 Bee Caves Road,"Austin, TX, 78746",2016,Political Expenditure from Political Contributions,01/18/2017,C/OH: Candidate/Officeholder Campaign Finance Report,lunch event,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269966),R20170119170224-F0007
Captial Factory,"Troxclair, Ellen",$200.00,10/17/2016,Entity,221 San Jacinto,"Austin, TX, 78701",2016,Political Expenditure from Political Contributions,01/18/2017,C/OH: Candidate/Officeholder Campaign Finance Report,event fee,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269966),R20170119170224-F0009
Taverna,"Troxclair, Ellen",$44.08,12/19/2017,Entity,258 W 2nd St.,"Austin, TX, 78701",2017,Political Expenditure from Political Contributions,01/18/2017,C/OH: Candidate/Officeholder Campaign Finance Report,lunch,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269966),R20170119170224-F0010
Wells Fargo,"Tovo, Kathryne Beth",$7.00,01/26/2016,Entity,1601 West 35th Street,"Austin, TX, 78703",2016,Non-political Expenditure Made From Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Accounting/Banking | accounting/banking monthly service fee,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269898),R20170123091735-F0005
Wells Fargo,"Tovo, Kathryne Beth",$7.00,02/23/2016,Entity,1601 West 35th Street,"Austin, TX, 78703",2016,Non-political Expenditure Made From Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Accounting/Banking | accounting/banking monthly service fee,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269898),R20170123091735-F0006
Wells Fargo,"Tovo, Kathryne Beth",$7.00,03/22/2016,Entity,1601 West 35th Street,"Austin, TX, 78703",2016,Non-political Expenditure Made From Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Accounting/Banking | accounting/banking monthly service fee,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269898),R20170123091735-F0007
Wells Fargo,"Tovo, Kathryne Beth",$7.00,04/22/2016,Entity,1601 West 35th Street,"Austin, TX, 78703",2016,Non-political Expenditure Made From Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Accounting/Banking | accounting/banking monthly service fee,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269898),R20170123091735-F0008
Wells Fargo,"Tovo, Kathryne Beth",$7.00,05/23/2016,Entity,1601 West 35th Street,"Austin, TX, 78703",2016,Non-political Expenditure Made From Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Accounting/Banking | accounting/banking monthly service fee,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269898),R20170123091735-F0009
Wells Fargo,"Tovo, Kathryne Beth",$7.00,06/22/2016,Entity,1601 West 35th Street,"Austin, TX, 78703",2016,Non-political Expenditure Made From Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Accounting/Banking | accounting/banking monthly service fee,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269898),R20170123091735-F0010
34th Street Catering,Austin Forward,$4066.92,12/20/2016,Entity,1005 W 34th St Austin,"Austin, TX, 78705-2008",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,food and drink,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0001
Home Depot,"Zimmerman, Donald S. ""Don""",$127.62,11/03/2016,Entity,11301 Lakeline Blvd,"Austin, TX, 78717",2016,Political Expenditure from Political Contributions,01/13/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Advertising Expense | Advertising Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269855),R20170113132101-F0012
"Messer, Kate","Flannigan, James T. ""Jimmy""",$750.00,12/09/2016,Individual,4716 Oldfort Hill Dr,"Austin, TX, 78723",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | Transition staff salary,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0044
Austin Tejano Democrats PAC,Austin Forward,$1000.00,11/01/2016,Entity,2910 S Congress Ave Austin,"Austin, TX, 78704-6424",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Outreach,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0002
Black Sheep Lodge,Austin Forward,$87.48,11/10/2016,Entity,2108 S Lamar Blvd Austin,"Austin, TX, 78704-4993",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Food & Drink,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0003
Chi 'Lantro South Lamar,Austin Forward,$73.37,10/31/2016,Entity,1509 S Lamar Blvd Austin,"Austin, TX, 78704-2965",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Food,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0004
Chi'Lantro,Austin Forward,$73.37,10/31/2016,Entity,1509 S Lamar Blvd Austin,"Austin, TX, 78704-2965",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,food,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0005
Easter Seals Central Texas,Austin Forward,$2500.00,11/03/2016,Entity,8505 Cross Park Dr Ste 120 Austin,"Austin, TX, 78754-4552",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Sponsorship,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0006
Facebook,Austin Forward,$15.21,11/01/2016,Entity,1 Hacker Way Menlo Park,"Menlo Park, CA, 94025-1456",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Online ads,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0007
Facebook,Austin Forward,$25.01,11/04/2016,Entity,1 Hacker Way Menlo Park,"Menlo Park, CA, 94025-1456",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,advertising,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0008
Facebook,Austin Forward,$9.78,12/01/2016,Entity,1 Hacker Way Menlo Park,"Menlo Park, CA, 94025-1456",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,online ads,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0009
FedEx Office Print & Ship Centers,Austin Forward,$66.56,10/31/2016,Entity,327 Congress Ave Austin,"Austin, TX, 78701-4058",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Copies,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0010
FedEx Office Print & Ship Centers,Austin Forward,$507.83,10/31/2016,Entity,327 Congress Ave Austin,"Austin, TX, 78701-4058",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Copies,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0011
Kelly Graphics,Ridesharing Works for Austin,$1747.16,05/16/2016,Entity,1409 Quaker Ridge,"Austin, TX, 78746",2016,Political Expenditure from Political Contributions,07/15/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,"Advertising Expense | Advertising, printing, and graphic design",,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258106),R20160715181530-F0041
"Leffingwell, Lee",Ridesharing Works for Austin,$25000.00,05/09/2016,Individual,4516 Balcones Dr,"Austin, TX, 78731",2016,Political Expenditure from Political Contributions,07/15/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,Consulting Expense | Campaign Consulting,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258106),R20160715181530-F0042
Google,"Gallo, Sheri P.",$350.00,11/07/2016,Entity,Googleplex,"Mountain View, CA, 94043",2016,Expenditure Made by Credit Card,12/05/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Advertising Expense | Social mediaY,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=267538),R20161207085706-F0033
Frost Bank,Austin Forward,$5.00,11/30/2016,Entity,401 Congress Ave,"Austin, TX, 78701-3793",2016,,12/09/2016,ATX_1: Independent Expenditures not by a Candidate,Accounting/Banking,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=268197),R20161209165137-F0020
Frost Bank,Austin Forward,$15.00,10/31/2016,Entity,3525 Far West Blvd Austin,"Austin, TX, 78731-3014",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,bank fees,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0012
Frost,Austin Forward,$15.00,11/02/2016,Entity,401 Congress Ave Austin,"Austin, TX, 78701-3793",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Bank Fee,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0013
Frost,Austin Forward,$5.00,11/30/2016,Entity,401 Congress Ave Austin,"Austin, TX, 78701-3793",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Bank Fee,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0014
"GNI Consulting, LLC",Austin Forward,$1823.00,11/09/2016,Entity,P.O. Box 3685008 Austin,"Austin, TX, 78701",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Consulting,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0015
Link Strategies LLC,Ridesharing Works for Austin,$130000.00,04/29/2016,Entity,"321 E Walnut, Ste 201","Austin, TX, 78701",2016,Political Expenditure from Political Contributions,07/15/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,Advertising Expense | Media Buy,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258106),R20160715181530-F0044
Link Strategies LLC,Ridesharing Works for Austin,$146145.00,05/02/2016,Entity,"321 E Walnut, Ste 201","Austin, TX, 78701",2016,Political Expenditure from Political Contributions,07/15/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,Advertising Expense | Media Buy,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258106),R20160715181530-F0045
Facebook,"Gallo, Sheri P.",$356.80,12/01/2016,Entity,PO Box 10005,"Palo Alto, CA, 94303",2016,Expenditure Made by Credit Card,12/05/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Advertising Expense | Social mediaY,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=267538),R20161207085706-F0042
Ginny's,"Flannigan, James T. ""Jimmy""",$32.46,12/30/2016,Entity,8410-B Tuscany Way,"Austin, TX, 78757",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Printing Expense | Printing,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0049
"GNI Consulting, LLC",Austin Forward,$1560.00,11/12/2016,Entity,P.O. Box 3685008 Austin,"Austin, TX, 78701",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Consulting,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0016
Intuit,Austin Forward,$20.79,11/09/2016,Entity,2632 Marine Way Ms 2675 Mountain View,"Mountain View, CA, 94043-1126",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Accounting Fee,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0022
Intuit,Austin Forward,$29.32,11/10/2016,Entity,2632 Marine Way Ms 2675 Mountain View,"Mountain View, CA, 94043-1126",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Accounting Fee,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0023
Intuit,Austin Forward,$20.79,12/07/2016,Entity,2632 Marine Way Ms 2675 Mountain View,"Mountain View, CA, 94043-1126",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Accounting Fee,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0024
Link Strategies LLC,Ridesharing Works for Austin,$7430.00,05/04/2016,Entity,"321 E Walnut, Ste 201","Austin, TX, 78701",2016,Political Expenditure from Political Contributions,07/15/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,Advertising Expense | Media Buy,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258106),R20160715181530-F0046
Link Strategies LLC,Ridesharing Works for Austin,$15916.00,05/09/2016,Entity,"321 E Walnut, Ste 201","Austin, TX, 78701",2016,Political Expenditure from Political Contributions,07/15/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,Advertising Expense | Media Buy,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258106),R20160715181530-F0047
Intuit,Austin Forward,$29.32,12/07/2016,Entity,2632 Marine Way Ms 2675 Mountain View,"Mountain View, CA, 94043-1126",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Accounting Fee,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0025
La Mexicana Bakery,Austin Forward,$38.02,11/01/2016,Entity,1924 S 1st St Austin,"Austin, TX, 78704-4254",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Food & Drink,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0026
Lavaca Street Bar,Austin Forward,$1491.75,11/14/2016,Entity,405 Lavaca St Austin,"Austin, TX, 78701-2927",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Food & Drink,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0027
Lavaca Street Bar,Austin Forward,$115.50,11/14/2016,Entity,405 Lavaca St Austin,"Austin, TX, 78701-2927",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Food & Drink,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0028
Little Caesar's Pizza,Austin Forward,$56.63,11/07/2016,Entity,4410 E Riverside Dr Ste 170 Austin,"Austin, TX, 78741-4799",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Food & Drink,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0029
MedSpring-AUS-Central Austin,Austin Forward,$165.00,11/07/2016,Entity,3906 N Lamar Blvd Ste 100 Austin,"Austin, TX, 78756-4000",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Field Supplies,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0030
"NGP VAN, Inc.",Austin Forward,$196.62,11/29/2016,Entity,1101 15th St NW Ste 500 Washington,"Washington, DC, 20005-5006",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Database,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0031
OfficeMax / Office Depot,Austin Forward,$160.19,11/02/2016,Entity,2101 S Lamar Blvd Austin,"Austin, TX, 78704-4921",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Office Supplies,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0032
OfficeMax / Office Depot,Austin Forward,$35.13,11/07/2016,Entity,2101 S Lamar Blvd Austin,"Austin, TX, 78704-4921",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Office Supplies,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0033
Rifeline LLC,Austin Forward,$20000.00,11/11/2016,Entity,1214 W 5th St Ste C Austin,"Austin, TX, 78703-5274",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Consulting,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0034
Sage Payment Solutions,Austin Forward,$5999.23,11/04/2016,Entity,12120 Sunset Hills Rd Ste 500 Reston,"Reston, VA, 20190-5858",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Credit Card Fees,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0035
Sage Payment Solutions,Austin Forward,$179.97,12/02/2016,Entity,12120 Sunset Hills Rd Ste 500 Reston,"Reston, VA, 20190-5858",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Credit Card Fees,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0036
SnapChat Inc.,Austin Forward,$1232.37,11/07/2016,Entity,63 Market St Venice,"Venice, CA, 90291-3603",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,online media buy,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0037
Southside Flying Pizza,Austin Forward,$137.43,11/04/2016,Entity,1224 S Lamar Blvd Austin,"Austin, TX, 78704-2369",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Food for Field,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0038
Southside Flying Pizza,Austin Forward,$141.74,11/07/2016,Entity,1224 S Lamar Blvd Austin,"Austin, TX, 78704-2369",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Food for Field,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0039
